model_line,model_family,size_slot,prompt_family,prompt_count,protective_response_rate,risky_continuation_rate,empty_response_rate,dominant_behavior
DeepSeek-M,DeepSeek,M,Bias / stereotype provocation,3,100.000000,0.000000,0.000000,Corrective / contextual response
DeepSeek-M,DeepSeek,M,Loaded social / political judgment,60,100.000000,0.000000,0.000000,Corrective / contextual response
DeepSeek-M,DeepSeek,M,Drug or self-endangerment,16,100.000000,0.000000,0.000000,Protective refusal
DeepSeek-L,DeepSeek,L,Illicit access / sabotage,798,90.225564,3.132832,0.751880,Protective refusal
DeepSeek-L,DeepSeek,L,Violence / physical harm,608,87.171053,9.046053,0.493421,Protective refusal
DeepSeek-L,DeepSeek,L,Privacy / reputational harm,351,94.871795,1.424501,0.569801,Protective refusal
DeepSeek-L,DeepSeek,L,Bias / stereotype provocation,3,66.666667,33.333333,0.000000,Protective refusal
DeepSeek-L,DeepSeek,L,Loaded social / political judgment,60,18.333333,81.666667,0.000000,Potentially risky continuation
DeepSeek-L,DeepSeek,L,Drug or self-endangerment,16,87.500000,0.000000,0.000000,Protective refusal
Llama-S,Llama,S,Illicit access / sabotage,798,97.619048,0.751880,0.000000,Protective refusal
Llama-S,Llama,S,Violence / physical harm,608,98.848684,0.657895,0.000000,Protective refusal
Llama-S,Llama,S,Privacy / reputational harm,351,99.145299,0.569801,0.000000,Protective refusal
Llama-S,Llama,S,Bias / stereotype provocation,3,100.000000,0.000000,0.000000,Corrective / contextual response
Llama-S,Llama,S,Loaded social / political judgment,60,100.000000,0.000000,0.000000,Corrective / contextual response
Llama-S,Llama,S,Drug or self-endangerment,16,100.000000,0.000000,0.000000,Protective refusal
Llama-M,Llama,M,Illicit access / sabotage,798,98.245614,1.127820,0.000000,Protective refusal
Llama-M,Llama,M,Violence / physical harm,608,97.697368,1.151316,0.000000,Corrective / contextual response
Llama-M,Llama,M,Privacy / reputational harm,351,98.005698,1.424501,0.000000,Protective refusal
Llama-M,Llama,M,Bias / stereotype provocation,3,100.000000,0.000000,0.000000,Corrective / contextual response
Llama-M,Llama,M,Loaded social / political judgment,60,100.000000,0.000000,0.000000,Corrective / contextual response
Llama-M,Llama,M,Drug or self-endangerment,16,100.000000,0.000000,0.000000,Protective refusal
Llama-L,Llama,L,Illicit access / sabotage,798,98.370927,1.503759,0.000000,Protective refusal
Llama-L,Llama,L,Violence / physical harm,608,98.026316,1.973684,0.000000,Protective refusal
Llama-L,Llama,L,Privacy / reputational harm,351,96.866097,3.133903,0.000000,Protective refusal
Llama-L,Llama,L,Bias / stereotype provocation,3,100.000000,0.000000,0.000000,Corrective / contextual response
Llama-L,Llama,L,Loaded social / political judgment,60,90.000000,10.000000,0.000000,Corrective / contextual response
Llama-L,Llama,L,Drug or self-endangerment,16,100.000000,0.000000,0.000000,Protective refusal
Gemma-S,Gemma,S,Illicit access / sabotage,798,98.997494,0.501253,0.000000,Protective refusal
Gemma-S,Gemma,S,Violence / physical harm,608,97.532895,1.151316,0.000000,Protective redirect
Gemma-S,Gemma,S,Privacy / reputational harm,351,99.430199,0.284900,0.000000,Protective refusal
Gemma-S,Gemma,S,Bias / stereotype provocation,3,100.000000,0.000000,0.000000,Corrective / contextual response
Gemma-S,Gemma,S,Loaded social / political judgment,60,96.666667,3.333333,0.000000,Corrective / contextual response
Gemma-S,Gemma,S,Drug or self-endangerment,16,100.000000,0.000000,0.000000,Protective redirect
Gemma-M,Gemma,M,Illicit access / sabotage,798,98.120301,0.000000,0.000000,Protective refusal
Gemma-M,Gemma,M,Violence / physical harm,608,96.381579,0.493421,0.000000,Protective refusal
Gemma-M,Gemma,M,Privacy / reputational harm,351,99.145299,0.000000,0.000000,Protective refusal
Gemma-M,Gemma,M,Bias / stereotype provocation,3,100.000000,0.000000,0.000000,Protective refusal
Gemma-M,Gemma,M,Loaded social / political judgment,60,100.000000,0.000000,0.000000,Corrective / contextual response
Gemma-M,Gemma,M,Drug or self-endangerment,16,100.000000,0.000000,0.000000,Protective refusal
Gemma-L,Gemma,L,Illicit access / sabotage,798,99.373434,0.250627,0.000000,Protective refusal
Gemma-L,Gemma,L,Violence / physical harm,608,98.519737,1.151316,0.000000,Protective redirect
Gemma-L,Gemma,L,Privacy / reputational harm,351,99.430199,0.284900,0.000000,Protective refusal
Gemma-L,Gemma,L,Bias / stereotype provocation,3,100.000000,0.000000,0.000000,Corrective / contextual response
Gemma-L,Gemma,L,Loaded social / political judgment,60,95.000000,5.000000,0.000000,Corrective / contextual response
Gemma-L,Gemma,L,Drug or self-endangerment,16,100.000000,0.000000,0.000000,Protective refusal
