benchmark,paper_model_or_evidence,paper_result_anchor,our_matching_or_closest_line,our_result_anchor,overlap_status,what_to_compare
CCD-Bench,DeepSeek-chat-v3-0324,top Nordic Europe 22.9%; Germanic Europe 11.9%; plural rationales 96.8%; Cramer's V 0.161,Fresh exact CCD rerun,"2,108/2,182 valid choices; option_6 Nordic Europe 23.2448%; effective clusters 7.905",Exact same-model fresh rerun evidence,"Use as a CCD distribution bridge with valid-choice gap caveat, not accuracy."
CCD-Bench,Gemini 2.0 Flash 001,top Nordic Europe 18.4%; Germanic Europe 12.3%; plural rationales 89.2%; Cramer's V 0.076,No current row,n/a,Not run in this release,Add a matching route before making a paper-model replication claim.
CCD-Bench,Gemini 2.5 Flash Preview 05-20,top Nordic Europe 16.5%; Germanic Europe 13.1%; plural rationales 86.9%; Cramer's V 0.097,No current row,n/a,Not run in this release,Add a matching route before making a paper-model replication claim.
CCD-Bench,Llama-3.3-70B-Instruct,top Nordic Europe 19.7%; Germanic Europe 15.3%; plural rationales 85.3%; Cramer's V 0.203,Llama-M,Llama-M: option_6 (Nordic Europe) at 20.6%; effective clusters 8.03,Exact same-model current release evidence,"Use as a CCD distribution bridge, not accuracy."
CCD-Bench,Llama-4-Maverick-17B-128E-Instruct,top Nordic Europe 21.1%; Germanic Europe 14.6%; plural rationales 68.6%; Cramer's V 0.097,Llama-L,Llama-L: option_6 (Nordic Europe) at 23.5%; effective clusters 7.67,Not exact paper route; context only; not plotted in the same-model calibration bridge,"Use only as CCD context, not one-to-one paper calibration."
CCD-Bench,Microsoft Phi-4,top Nordic Europe 18.9%; Germanic Europe 7.8%; plural rationales 82.7%; Cramer's V 0.152,Fresh exact CCD rerun,"2,182/2,182 valid choices; option_6 Nordic Europe 20.6691%; effective clusters 8.511",Exact same-model fresh rerun evidence,"Use as a CCD distribution bridge, not accuracy."
CCD-Bench,WizardLM-2-8x22B,top Nordic Europe 22.0%; Germanic Europe 16.4%; plural rationales 88.8%; Cramer's V 0.111,Cancelled local attempt,Partial/cancelled attempt only; no verified full distribution row,Cancelled partial run; not plotted in the same-model calibration bridge,Rerun only if bandwidth allows; do not treat the partial attempt as calibration evidence.
CCD-Bench,Mistral Nemo,top Nordic Europe 19.0%; Germanic Europe 13.1%; plural rationales 82.0%; Cramer's V 0.130,May 13 exploratory Mistral Nemo,CCD Nordic Europe 25.3%; effective clusters 7.22,Exact same-model saved/prior evidence outside the current family-size release table,"Use as a clearly labeled same-model follow-up row, not as a fresh rerun."
CCD-Bench,OpenAI ChatGPT-4o-latest,top Nordic Europe 18.4%; Germanic Europe 11.5%; plural rationales 96.8%; Cramer's V 0.186,GPT-4o-mini Ref,GPT-4o-mini Ref: option_6 (Nordic Europe) at 17.1%; effective clusters 8.94,"OpenAI reference family only, not exact model variant; not plotted in the same-model calibration bridge",Use only as current OpenAI context; not an OpenAI S/M/L family-size sweep and not paper-model calibration.
CCD-Bench,OpenAI GPT-4.1,top Nordic Europe 21.5%; Germanic Europe 7.6%; plural rationales 94.7%; Cramer's V 0.096,Fresh exact CCD rerun,"2,182/2,182 valid choices; option_6 Nordic Europe 22.2731%; effective clusters 8.298",Exact same-model fresh rerun evidence,Use as CCD paper-model calibration only; it is not an OpenAI S/M/L family-size sweep.
CCD-Bench,Perplexity Sonar,top Nordic Europe 21.8%; Germanic Europe 12.5%; plural rationales 92.9%; Cramer's V 0.127,Fresh exact CCD rerun,"2,182/2,182 valid choices; option_6 Nordic Europe 14.3446%; effective clusters 9.570",Exact same-model fresh rerun evidence,"Use as a CCD distribution bridge, not accuracy."
CCD-Bench,Qwen2.5-72B-Instruct,top Nordic Europe 17.7%; Germanic Europe 9.4%; plural rationales 91.4%; Cramer's V 0.102,Fresh exact CCD rerun,"2,182/2,182 valid choices; option_6 Nordic Europe 21.1274%; effective clusters 8.422",Exact same-model fresh rerun evidence,"Use as a CCD distribution bridge, not Qwen-L substitution."
CCD-Bench,Grok-2-1212,top Nordic Europe 21.6%; Germanic Europe 10.7%; plural rationales 88.0%; Cramer's V 0.123,No current row,n/a,Not run in this release,Add a matching route before making a paper-model replication claim.
DeNEVIL / MoralPrompt,"ChatGPT, GPT-4, LLaMA2-70B-chat, and 24 other LLMs",Paper reports EVR/APV/MVP over MoralPrompt; e.g. ChatGPT APV 65.20 +/- 26.45,No MoralPrompt row,FULCRA-backed proxy behavior only; APV/EVR/MVP n/a,Blocked data/scorer gap; proxy is not T3,Do not compare DeNEVIL proxy categories to MoralPrompt APV/EVR/MVP.
