benchmark,benchmark_scope,model_family,task,model,accuracy,stderr,samples,status
EMNLP_Educator,HEXACO personality,Qwen,emnlp_hexaco_personality,openai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.5611111111111111,0.036516269767485066,60,success
EMNLP_Educator,Moral dilemmas,Qwen,emnlp_moral_dilemmas,openai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.9715909090909091,0.008506384540004863,88,success
EMNLP_Educator,Prompt injection,Qwen,emnlp_prompt_injection,openai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.92,0.01974586006987262,100,success
MoralBench,MFQ agreement,Qwen,moralbench_mfq_agreement,openai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.8982961492066218,0.04558060772155175,20,success
MoralBench,MFQ compare,Qwen,moralbench_mfq_compare,openai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,,0.10942433098048311,20,success
MoralBench,Vignette agreement,Qwen,moralbench_vignette_agreement,openai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.8186511556076773,0.05704675563067243,24,success
MoralBench,Vignette compare,Qwen,moralbench_vignette_compare,openai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,,0.10389457216622949,24,success
EMNLP_Educator,CPST personality,DeepSeek,emnlp_cpst_personality,openai/deepseek-chat,0.9134615384615384,0.022268774830169574,78,success
EMNLP_Educator,HEXACO personality,DeepSeek,emnlp_hexaco_personality,openai/deepseek-chat,0.5972222222222221,0.03927538636414859,60,success
EMNLP_Educator,Moral dilemmas,DeepSeek,emnlp_moral_dilemmas,openai/deepseek-chat,0.9488636363636364,0.010811426066866296,88,success
EMNLP_Educator,Prompt injection,DeepSeek,emnlp_prompt_injection,openai/deepseek-chat,0.855,0.02868762447432338,100,success
MoralBench,MFQ agreement,DeepSeek,moralbench_mfq_agreement,openai/deepseek-chat,0.18046631909566158,0.07882973304051985,20,success
MoralBench,MFQ compare,DeepSeek,moralbench_mfq_compare,openai/deepseek-chat,,0.11470786693528086,20,success
MoralBench,Vignette agreement,DeepSeek,moralbench_vignette_agreement,openai/deepseek-chat,0.9105311355311355,0.04678265291519751,24,success
MoralBench,Vignette compare,DeepSeek,moralbench_vignette_compare,openai/deepseek-chat,,0.10389457216622949,24,success
EMNLP_Educator,CPST personality,DeepSeek,emnlp_cpst_personality,openai/deepseek-reasoner,0.11217948717948718,0.035527820392495316,78,success
EMNLP_Educator,HEXACO personality,DeepSeek,emnlp_hexaco_personality,openai/deepseek-reasoner,0.047222222222222214,0.02379937681727324,60,success
EMNLP_Educator,Moral dilemmas,DeepSeek,emnlp_moral_dilemmas,openai/deepseek-reasoner,0.8153409090909091,0.03168630070953499,88,success
EMNLP_Educator,Prompt injection,DeepSeek,emnlp_prompt_injection,openai/deepseek-reasoner,0.815,0.026261120780470597,100,success
MoralBench,MFQ agreement,DeepSeek,moralbench_mfq_agreement,openai/deepseek-reasoner,0.0,0.0,20,success
MoralBench,MFQ compare,DeepSeek,moralbench_mfq_compare,openai/deepseek-reasoner,,0.09933992677987828,20,success
MoralBench,Vignette agreement,DeepSeek,moralbench_vignette_agreement,openai/deepseek-reasoner,0.0,0.0,24,success
MoralBench,Vignette compare,DeepSeek,moralbench_vignette_compare,openai/deepseek-reasoner,,0.0,24,success
EMNLP_Educator,CPST personality,DeepSeek,emnlp_cpst_personality,openai/deepseek/deepseek-r1-distill-llama-70b,0.0,0.0,78,success
EMNLP_Educator,HEXACO personality,DeepSeek,emnlp_hexaco_personality,openai/deepseek/deepseek-r1-distill-llama-70b,0.0,0.0,60,success
EMNLP_Educator,Moral dilemmas,DeepSeek,emnlp_moral_dilemmas,openai/deepseek/deepseek-r1-distill-llama-70b,0.7301136363636364,0.026564669577353414,88,success
EMNLP_Educator,Prompt injection,DeepSeek,emnlp_prompt_injection,openai/deepseek/deepseek-r1-distill-llama-70b,0.605,0.042220560839190166,100,success
MoralBench,MFQ agreement,DeepSeek,moralbench_mfq_agreement,openai/deepseek/deepseek-r1-distill-llama-70b,0.0,0.0,20,success
MoralBench,MFQ compare,DeepSeek,moralbench_mfq_compare,openai/deepseek/deepseek-r1-distill-llama-70b,,0.0,20,success
MoralBench,Vignette agreement,DeepSeek,moralbench_vignette_agreement,openai/deepseek/deepseek-r1-distill-llama-70b,0.0,0.0,24,success
MoralBench,Vignette compare,DeepSeek,moralbench_vignette_compare,openai/deepseek/deepseek-r1-distill-llama-70b,,0.0,24,success
EMNLP_Educator,CPST personality,Gemma,emnlp_cpst_personality,openai/google/gemma-3-12b-it,0.7948717948717948,0.030173073624555274,78,success
EMNLP_Educator,HEXACO personality,Gemma,emnlp_hexaco_personality,openai/google/gemma-3-12b-it,0.49166666666666664,0.036183470889337,60,success
EMNLP_Educator,Moral dilemmas,Gemma,emnlp_moral_dilemmas,openai/google/gemma-3-12b-it,0.9772727272727273,0.007705267086600118,88,success
EMNLP_Educator,Prompt injection,Gemma,emnlp_prompt_injection,openai/google/gemma-3-12b-it,0.98,0.00984731927834662,100,success
MoralBench,MFQ agreement,Gemma,moralbench_mfq_agreement,openai/google/gemma-3-12b-it,0.8421333218270106,0.05064924341019462,20,success
MoralBench,MFQ compare,Gemma,moralbench_mfq_compare,openai/google/gemma-3-12b-it,,0.1094243309804831,20,success
MoralBench,Vignette agreement,Gemma,moralbench_vignette_agreement,openai/google/gemma-3-12b-it,0.9208043164564904,0.025144263307353712,24,success
MoralBench,Vignette compare,Gemma,moralbench_vignette_compare,openai/google/gemma-3-12b-it,,0.10279899245732688,24,success
EMNLP_Educator,CPST personality,Gemma,emnlp_cpst_personality,openai/google/gemma-3-27b-it,0.8012820512820513,0.02674129519942934,78,success
EMNLP_Educator,HEXACO personality,Gemma,emnlp_hexaco_personality,openai/google/gemma-3-27b-it,0.5472222222222222,0.03455657285305963,60,success
EMNLP_Educator,Moral dilemmas,Gemma,emnlp_moral_dilemmas,openai/google/gemma-3-27b-it,0.96875,0.008864197327049616,88,success
EMNLP_Educator,Prompt injection,Gemma,emnlp_prompt_injection,openai/google/gemma-3-27b-it,0.97,0.011934162828797102,100,success
MoralBench,MFQ agreement,Gemma,moralbench_mfq_agreement,openai/google/gemma-3-27b-it,0.7382812329434382,0.08627928627931512,20,success
MoralBench,MFQ compare,Gemma,moralbench_mfq_compare,openai/google/gemma-3-27b-it,,0.11413288653790231,20,success
MoralBench,Vignette agreement,Gemma,moralbench_vignette_agreement,openai/google/gemma-3-27b-it,0.7094821844821845,0.08135790117996584,24,success
MoralBench,Vignette compare,Gemma,moralbench_vignette_compare,openai/google/gemma-3-27b-it,,0.09477598811252413,24,success
EMNLP_Educator,CPST personality,Gemma,emnlp_cpst_personality,openai/google/gemma-3-4b-it,0.6282051282051282,0.014240388489332931,78,success
EMNLP_Educator,HEXACO personality,Gemma,emnlp_hexaco_personality,openai/google/gemma-3-4b-it,0.5472222222222222,0.031216109473930744,60,success
EMNLP_Educator,Moral dilemmas,Gemma,emnlp_moral_dilemmas,openai/google/gemma-3-4b-it,0.9460227272727273,0.011745004688322463,88,success
EMNLP_Educator,Prompt injection,Gemma,emnlp_prompt_injection,openai/google/gemma-3-4b-it,1.0,0.0,100,success
MoralBench,MFQ agreement,Gemma,moralbench_mfq_agreement,openai/google/gemma-3-4b-it,0.6386719693335681,0.09368987674445808,20,success
MoralBench,MFQ compare,Gemma,moralbench_mfq_compare,openai/google/gemma-3-4b-it,,0.11470786693528086,20,success
MoralBench,Vignette agreement,Gemma,moralbench_vignette_agreement,openai/google/gemma-3-4b-it,0.596944963249311,0.0830990911821696,24,success
MoralBench,Vignette compare,Gemma,moralbench_vignette_compare,openai/google/gemma-3-4b-it,,0.10389457216622949,24,success
EMNLP_Educator,CPST personality,Llama,emnlp_cpst_personality,openai/meta-llama/llama-3.1-8b-instruct,0.8205128205128205,0.026561082246521404,78,success
EMNLP_Educator,HEXACO personality,Llama,emnlp_hexaco_personality,openai/meta-llama/llama-3.1-8b-instruct,0.5333333333333333,0.030889715335311,60,success
EMNLP_Educator,Moral dilemmas,Llama,emnlp_moral_dilemmas,openai/meta-llama/llama-3.1-8b-instruct,0.7556818181818182,0.02212330993760272,88,success
EMNLP_Educator,Prompt injection,Llama,emnlp_prompt_injection,openai/meta-llama/llama-3.1-8b-instruct,0.845,0.024303427035226238,100,success
MoralBench,MFQ agreement,Llama,moralbench_mfq_agreement,openai/meta-llama/llama-3.1-8b-instruct,0.46464000736465855,0.10030464251130314,20,success
MoralBench,MFQ compare,Llama,moralbench_mfq_compare,openai/meta-llama/llama-3.1-8b-instruct,,0.09176629354822471,20,success
MoralBench,Vignette agreement,Llama,moralbench_vignette_agreement,openai/meta-llama/llama-3.1-8b-instruct,0.7316601273123012,0.07400660690108694,24,success
MoralBench,Vignette compare,Llama,moralbench_vignette_compare,openai/meta-llama/llama-3.1-8b-instruct,,0.10094660663590604,24,success
EMNLP_Educator,CPST personality,Llama,emnlp_cpst_personality,openai/meta-llama/llama-3.2-3b-instruct,0.6923076923076923,0.020867725652871528,78,success
EMNLP_Educator,HEXACO personality,Llama,emnlp_hexaco_personality,openai/meta-llama/llama-3.2-3b-instruct,0.7277777777777779,0.02743670072289774,60,success
EMNLP_Educator,Moral dilemmas,Llama,emnlp_moral_dilemmas,openai/meta-llama/llama-3.2-3b-instruct,0.8806818181818182,0.015106549001725107,88,success
EMNLP_Educator,Prompt injection,Llama,emnlp_prompt_injection,openai/meta-llama/llama-3.2-3b-instruct,0.88,0.02146173479954639,100,success
MoralBench,MFQ agreement,Llama,moralbench_mfq_agreement,openai/meta-llama/llama-3.2-3b-instruct,0.3802794812174083,0.10284755724017254,20,success
MoralBench,MFQ compare,Llama,moralbench_mfq_compare,openai/meta-llama/llama-3.2-3b-instruct,,0.09176629354822471,20,success
MoralBench,Vignette agreement,Llama,moralbench_vignette_agreement,openai/meta-llama/llama-3.2-3b-instruct,0.037698412698412696,0.037698412698412696,24,success
MoralBench,Vignette compare,Llama,moralbench_vignette_compare,openai/meta-llama/llama-3.2-3b-instruct,,0.1042572070285374,24,success
EMNLP_Educator,CPST personality,Llama,emnlp_cpst_personality,openai/meta-llama/llama-3.3-70b-instruct,0.842948717948718,0.01941374270303281,78,success
EMNLP_Educator,HEXACO personality,Llama,emnlp_hexaco_personality,openai/meta-llama/llama-3.3-70b-instruct,0.5472222222222222,0.044129948967778374,60,success
EMNLP_Educator,Moral dilemmas,Llama,emnlp_moral_dilemmas,openai/meta-llama/llama-3.3-70b-instruct,0.9346590909090909,0.012450475417851383,88,success
EMNLP_Educator,Prompt injection,Llama,emnlp_prompt_injection,openai/meta-llama/llama-3.3-70b-instruct,0.865,0.024469110603725953,100,success
MoralBench,MFQ agreement,Llama,moralbench_mfq_agreement,openai/meta-llama/llama-3.3-70b-instruct,0.05,0.04999999999999999,20,success
MoralBench,MFQ compare,Llama,moralbench_mfq_compare,openai/meta-llama/llama-3.3-70b-instruct,,0.10942433098048311,20,success
MoralBench,Vignette agreement,Llama,moralbench_vignette_agreement,openai/meta-llama/llama-3.3-70b-instruct,0.037698412698412696,0.037698412698412696,24,success
MoralBench,Vignette compare,Llama,moralbench_vignette_compare,openai/meta-llama/llama-3.3-70b-instruct,,0.10389457216622949,24,success
EMNLP_Educator,CPST personality,MiniMax,emnlp_cpst_personality,openai/minimax/minimax-01,0.8237179487179487,0.02703157893191615,78,success
EMNLP_Educator,HEXACO personality,MiniMax,emnlp_hexaco_personality,openai/minimax/minimax-01,0.4694444444444444,0.042203075746055356,60,success
EMNLP_Educator,Moral dilemmas,MiniMax,emnlp_moral_dilemmas,openai/minimax/minimax-01,0.9005681818181818,0.01430865712126893,88,success
EMNLP_Educator,Prompt injection,MiniMax,emnlp_prompt_injection,openai/minimax/minimax-01,0.95,0.01507556722888818,100,success
EMNLP_Educator,CPST personality,MiniMax,emnlp_cpst_personality,openai/minimax/minimax-m1,0.0,0.0,78,success
EMNLP_Educator,HEXACO personality,MiniMax,emnlp_hexaco_personality,openai/minimax/minimax-m1,0.0,0.0,60,success
EMNLP_Educator,Moral dilemmas,MiniMax,emnlp_moral_dilemmas,openai/minimax/minimax-m1,0.8920454545454546,0.014453795417013233,88,success
EMNLP_Educator,Prompt injection,MiniMax,emnlp_prompt_injection,openai/minimax/minimax-m1,0.91,0.020572610996962032,100,success
MoralBench,MFQ agreement,MiniMax,moralbench_mfq_agreement,openai/minimax/minimax-m1,0.0,0.0,20,success
MoralBench,MFQ compare,MiniMax,moralbench_mfq_compare,openai/minimax/minimax-m1,,0.0,20,success
MoralBench,Vignette agreement,MiniMax,moralbench_vignette_agreement,openai/minimax/minimax-m1,0.0,0.0,24,success
MoralBench,Vignette compare,MiniMax,moralbench_vignette_compare,openai/minimax/minimax-m1,,0.0,24,success
EMNLP_Educator,CPST personality,Qwen,emnlp_cpst_personality,openai/qwen3-32b,0.8717948717948718,0.020271010642104997,78,success
EMNLP_Educator,HEXACO personality,Qwen,emnlp_hexaco_personality,openai/qwen3-32b,0.6,0.03174165963974629,60,success
EMNLP_Educator,Moral dilemmas,Qwen,emnlp_moral_dilemmas,openai/qwen3-32b,0.9914772727272727,0.004863711437032292,88,success
EMNLP_Educator,Prompt injection,Qwen,emnlp_prompt_injection,openai/qwen3-32b,0.93,0.01743675440098885,100,success
MoralBench,MFQ agreement,Qwen,moralbench_mfq_agreement,openai/qwen3-32b,0.0,0.0,20,success
MoralBench,MFQ compare,Qwen,moralbench_mfq_compare,openai/qwen3-32b,,0.06882472016116853,20,success
MoralBench,Vignette agreement,Qwen,moralbench_vignette_agreement,openai/qwen3-32b,0.0,0.0,24,success
MoralBench,Vignette compare,Qwen,moralbench_vignette_compare,openai/qwen3-32b,,0.0846811296559438,24,success
EMNLP_Educator,CPST personality,Qwen,emnlp_cpst_personality,openai/qwen3-8b,0.717948717948718,0.019007472612900665,78,success
EMNLP_Educator,HEXACO personality,Qwen,emnlp_hexaco_personality,openai/qwen3-8b,0.6388888888888888,0.01688494849463443,60,success
EMNLP_Educator,Moral dilemmas,Qwen,emnlp_moral_dilemmas,openai/qwen3-8b,0.9857954545454546,0.006204713866221348,88,success
EMNLP_Educator,Prompt injection,Qwen,emnlp_prompt_injection,openai/qwen3-8b,0.935,0.016899883449481554,100,success
MoralBench,MFQ agreement,Qwen,moralbench_mfq_agreement,openai/qwen3-8b,0.36265664160401007,0.10801656106804026,20,success
MoralBench,MFQ compare,Qwen,moralbench_mfq_compare,openai/qwen3-8b,,0.11470786693528086,20,success
MoralBench,Vignette agreement,Qwen,moralbench_vignette_agreement,openai/qwen3-8b,0.8236537918603136,0.03882095285126357,24,success
MoralBench,Vignette compare,Qwen,moralbench_vignette_compare,openai/qwen3-8b,,0.1042572070285374,24,success
MoralBench,MFQ agreement,MiniMax,moralbench_mfq_agreement,openai/minimax/minimax-01,0.9119599025892977,0.043156657157785785,20,success
MoralBench,MFQ compare,MiniMax,moralbench_mfq_compare,openai/minimax/minimax-01,0.5,0.11470786693528086,20,success
MoralBench,Vignette agreement,MiniMax,moralbench_vignette_agreement,openai/minimax/minimax-01,0.933391729043903,0.0262354954138446,24,success
MoralBench,Vignette compare,MiniMax,moralbench_vignette_compare,openai/minimax/minimax-01,0.4583333333333333,0.10389457216622949,24,success
