model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path,metric_observed,completed_samples,total_samples,input_tokens_actual,output_tokens_actual,reasoning_tokens_actual,actual_cost_usd,actual_cost_method,error
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.69,100,3624,2400,0.000457,0.04,0.13,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-12b-it/value_prism_relevance/2026-05-27T15-39-52-00-00_value-prism-relevance_ih9BninmjDYaSRFJwCMcHf.eval,accuracy,100,100,4527,299,0,0.000220,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.75,100,4479,3200,0.000595,0.04,0.13,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-12b-it/value_prism_valence/2026-05-27T15-40-03-00-00_value-prism-valence_mnM5vKCRdryNooNypRXxAM.eval,accuracy,100,100,5377,274,0,0.000251,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,100,34768,8000,0.002431,0.04,0.13,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-12b-it/ccd_bench_selection/2026-05-27T15-40-13-00-00_ccd-bench-selection_WFYFhSvwXckkbFswEXV6a5.eval,mean,100,100,40720,5072,0,0.002288,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.62,100,20270,6400,0.002646,0.08,0.16,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-27b-it/unimoral_action_prediction/2026-05-27T15-40-58-00-00_unimoral-action-prediction_SzxsoDVcWYMa8UaYhPsNPq.eval,accuracy,100,100,19702,688,0,0.001686,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.63,100,24470,51200,0.010150,0.08,0.16,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-27b-it/unimoral_moral_typology/2026-05-27T15-41-49-00-00_unimoral-moral-typology_nR2pPB7bbJFdBv7hCCRHpb.eval,accuracy,100,100,25526,977,0,0.002198,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.61,100,27870,51200,0.010422,0.08,0.16,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-27b-it/unimoral_factor_attribution/2026-05-27T15-42-37-00-00_unimoral-factor-attribution_Fk5g3tyWV9ZMG94jzni3Sp.eval,accuracy,100,100,27144,687,0,0.002281,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.08175348403803247,100,18067,51200,0.009637,0.08,0.16,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-27b-it/unimoral_consequence_generation/2026-05-27T15-43-09-00-00_unimoral-consequence-generation_jEUXLNom5FRdswbwg7v9Yt.eval,mean,100,100,19064,3415,0,0.002072,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.76,100,3624,2400,0.000674,0.08,0.16,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-27b-it/value_prism_relevance/2026-05-27T15-44-03-00-00_value-prism-relevance_hojfkSTtDv3skXykTZmCcP.eval,accuracy,100,100,4380,347,0,0.000406,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.71,100,4479,3200,0.000870,0.08,0.16,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-27b-it/value_prism_valence/2026-05-27T15-44-27-00-00_value-prism-valence_NETkwvJApNvtgfY5VGyU5s.eval,accuracy,100,100,5052,2529,0,0.000809,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,100,34768,8000,0.004061,0.08,0.16,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-27b-it/ccd_bench_selection/2026-05-27T15-45-11-00-00_ccd-bench-selection_XXVhSEBoettPGKPRxjdb7o.eval,mean,100,100,34990,5325,0,0.003651,input + output + reasoning tokens at OpenRouter metadata rates,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.49,100,20270,6400,0.003176,0.0509,0.335,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-low-cost-moral-psych-s100/logs/meta-llama__llama-3.2-3b-instruct/unimoral_action_prediction/2026-05-27T15-46-17-00-00_unimoral-action-prediction_n53FYk8PT6quTAaRTNpqkx.eval,accuracy,100,100,28480,621,0,0.001658,input + output + reasoning tokens at OpenRouter metadata rates,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.65,100,24470,51200,0.018398,0.0509,0.335,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-low-cost-moral-psych-s100/logs/meta-llama__llama-3.2-3b-instruct/unimoral_moral_typology/2026-05-27T15-46-27-00-00_unimoral-moral-typology_7Dsr62R6G2jZLHVpU226kx.eval,accuracy,100,100,32980,1816,0,0.002287,input + output + reasoning tokens at OpenRouter metadata rates,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.6,100,27870,51200,0.018571,0.0509,0.335,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-low-cost-moral-psych-s100/logs/meta-llama__llama-3.2-3b-instruct/unimoral_factor_attribution/2026-05-27T15-46-37-00-00_unimoral-factor-attribution_ZGFDDWqqvL2NwhyDpTBFai.eval,accuracy,100,100,36580,782,0,0.002124,input + output + reasoning tokens at OpenRouter metadata rates,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.07789545061101935,100,18067,51200,0.018072,0.0509,0.335,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-low-cost-moral-psych-s100/logs/meta-llama__llama-3.2-3b-instruct/unimoral_consequence_generation/2026-05-27T15-46-46-00-00_unimoral-consequence-generation_Yvhqq9a6GtvUiWSqgvywJz.eval,mean,100,100,25757,7797,0,0.003923,input + output + reasoning tokens at OpenRouter metadata rates,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.69,100,3624,2400,0.000988,0.0509,0.335,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-low-cost-moral-psych-s100/logs/meta-llama__llama-3.2-3b-instruct/value_prism_relevance/2026-05-27T15-47-01-00-00_value-prism-relevance_iwJsfAQX6QFkGjzTQwLzef.eval,accuracy,100,100,7241,243,0,0.000450,input + output + reasoning tokens at OpenRouter metadata rates,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.45,100,4479,3200,0.001300,0.0509,0.335,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-low-cost-moral-psych-s100/logs/meta-llama__llama-3.2-3b-instruct/value_prism_valence/2026-05-27T15-47-09-00-00_value-prism-valence_MHVcrPwDivViDVCiwa6gQx.eval,accuracy,100,100,8091,587,0,0.000608,input + output + reasoning tokens at OpenRouter metadata rates,
