model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,1,235,512,0.000068,0.071,0.1,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,1,269,512,0.000070,0.071,0.1,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1,165,512,0.000063,0.071,0.1,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,1,59,24,0.000007,0.071,0.1,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,,1,70,32,0.000008,0.071,0.1,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,1,314,80,0.000030,0.071,0.1,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,1,193,64,0.000013,0.04,0.08,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,1,235,512,0.000050,0.04,0.08,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,1,269,512,0.000052,0.04,0.08,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1,165,512,0.000048,0.04,0.08,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,1,59,24,0.000004,0.04,0.08,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,,1,70,32,0.000005,0.04,0.08,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,1,314,80,0.000019,0.04,0.08,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,1,193,64,0.000016,0.04,0.13,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,1,235,512,0.000076,0.04,0.13,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,1,269,512,0.000077,0.04,0.13,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1,165,512,0.000073,0.04,0.13,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,1,59,24,0.000005,0.04,0.13,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,,1,70,32,0.000007,0.04,0.13,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,1,314,80,0.000023,0.04,0.13,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,1,193,64,0.000026,0.08,0.16,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,1,235,512,0.000101,0.08,0.16,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,1,269,512,0.000103,0.08,0.16,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1,165,512,0.000095,0.08,0.16,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,1,59,24,0.000009,0.08,0.16,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,,1,70,32,0.000011,0.08,0.16,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,1,314,80,0.000038,0.08,0.16,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,1,193,64,0.000031,0.0509,0.335,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,1,235,512,0.000183,0.0509,0.335,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,1,269,512,0.000185,0.0509,0.335,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1,165,512,0.000180,0.0509,0.335,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,1,59,24,0.000011,0.0509,0.335,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,,1,70,32,0.000014,0.0509,0.335,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,1,314,80,0.000043,0.0509,0.335,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,1,193,64,0.000007,0.02,0.05,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,1,235,512,0.000030,0.02,0.05,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,1,269,512,0.000031,0.02,0.05,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1,165,512,0.000029,0.02,0.05,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,1,59,24,0.000002,0.02,0.05,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,,1,70,32,0.000003,0.02,0.05,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,1,314,80,0.000010,0.02,0.05,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,1,193,64,0.000040,0.1,0.32,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,1,235,512,0.000187,0.1,0.32,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,1,269,512,0.000191,0.1,0.32,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1,165,512,0.000180,0.1,0.32,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,1,59,24,0.000014,0.1,0.32,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,ValuePrism,value_prism_valence,accuracy,,1,70,32,0.000017,0.1,0.32,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,1,314,80,0.000057,0.1,0.32,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_action_prediction,accuracy,,1,193,64,0.000014,0.04,0.1,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_moral_typology,accuracy,,1,235,512,0.000061,0.04,0.1,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,1,269,512,0.000062,0.04,0.1,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1,165,512,0.000058,0.04,0.1,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,ValuePrism,value_prism_relevance,accuracy,,1,59,24,0.000005,0.04,0.1,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,ValuePrism,value_prism_valence,accuracy,,1,70,32,0.000006,0.04,0.1,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,1,314,80,0.000021,0.04,0.1,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_action_prediction,accuracy,,1,193,64,0.000017,0.04,0.15,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_moral_typology,accuracy,,1,235,512,0.000086,0.04,0.15,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,1,269,512,0.000088,0.04,0.15,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1,165,512,0.000083,0.04,0.15,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,ValuePrism,value_prism_relevance,accuracy,,1,59,24,0.000006,0.04,0.15,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,ValuePrism,value_prism_valence,accuracy,,1,70,32,0.000008,0.04,0.15,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,1,314,80,0.000025,0.04,0.15,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_action_prediction,accuracy,,1,193,64,0.000167,0.65,0.65,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_moral_typology,accuracy,,1,235,512,0.000486,0.65,0.65,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,1,269,512,0.000508,0.65,0.65,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1,165,512,0.000440,0.65,0.65,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,ValuePrism,value_prism_relevance,accuracy,,1,59,24,0.000054,0.65,0.65,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,ValuePrism,value_prism_valence,accuracy,,1,70,32,0.000066,0.65,0.65,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,1,314,80,0.000256,0.65,0.65,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_action_prediction,accuracy,,1,193,64,0.000047,0.12,0.37,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_moral_typology,accuracy,,1,235,512,0.000218,0.12,0.37,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,1,269,512,0.000222,0.12,0.37,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1,165,512,0.000209,0.12,0.37,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,ValuePrism,value_prism_relevance,accuracy,,1,59,24,0.000016,0.12,0.37,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,ValuePrism,value_prism_valence,accuracy,,1,70,32,0.000020,0.12,0.37,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,1,314,80,0.000067,0.12,0.37,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_action_prediction,accuracy,,1,193,64,0.000088,0.2,0.77,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_moral_typology,accuracy,,1,235,512,0.000441,0.2,0.77,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,1,269,512,0.000448,0.2,0.77,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1,165,512,0.000427,0.2,0.77,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,ValuePrism,value_prism_relevance,accuracy,,1,59,24,0.000030,0.2,0.77,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,ValuePrism,value_prism_valence,accuracy,,1,70,32,0.000039,0.2,0.77,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,1,314,80,0.000124,0.2,0.77,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_action_prediction,accuracy,,1,193,64,0.000091,0.21,0.79,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_moral_typology,accuracy,,1,235,512,0.000454,0.21,0.79,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,1,269,512,0.000461,0.21,0.79,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1,165,512,0.000439,0.21,0.79,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,ValuePrism,value_prism_relevance,accuracy,,1,59,24,0.000031,0.21,0.79,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,ValuePrism,value_prism_valence,accuracy,,1,70,32,0.000040,0.21,0.79,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,1,314,80,0.000129,0.21,0.79,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,UniMoral,unimoral_action_prediction,accuracy,,1,193,64,0.000073,0.252,0.378,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,UniMoral,unimoral_moral_typology,accuracy,,1,235,512,0.000253,0.252,0.378,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
