model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path,metric_observed,completed_samples,total_samples,input_tokens_actual,output_tokens_actual,actual_cost_usd,reasoning_tokens_actual,actual_cost_method
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0,1,165,512,0.000048,0.04,0.08,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-4b-it/unimoral_consequence_generation/2026-05-27T13-36-09-00-00_unimoral-consequence-generation_csrJtqFymMiXnEUPndPFrg.eval,mean,1,1,194,41,0.000011,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,1.0,1,59,24,0.000004,0.04,0.08,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-4b-it/value_prism_relevance/2026-05-27T13-36-13-00-00_value-prism-relevance_eKp6WrxKmtkqEn9a6SxhEr.eval,accuracy,1,1,68,3,0.000003,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,1.0,1,70,32,0.000005,0.04,0.08,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-4b-it/value_prism_valence/2026-05-27T13-36-15-00-00_value-prism-valence_fg2Ycnshrg8shkYuAda7hX.eval,accuracy,1,1,79,3,0.000003,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,1,314,80,0.000019,0.04,0.08,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-4b-it/ccd_bench_selection/2026-05-27T13-36-18-00-00_ccd-bench-selection_JiR54eGoGiPHN78JhHecjc.eval,mean,1,1,349,51,0.000018,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.0,1,193,64,0.000091,0.21,0.79,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-chat-v3.1/unimoral_action_prediction/2026-05-27T13-36-37-00-00_unimoral-action-prediction_HvJDXBQaEGhCc2dDUEUJMZ.eval,accuracy,1,1,258,6,0.000059,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.0,1,235,512,0.000454,0.21,0.79,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-chat-v3.1/unimoral_moral_typology/2026-05-27T13-36-41-00-00_unimoral-moral-typology_8RjyX4UTUZyoVyeG3w8ZZS.eval,accuracy,1,1,306,7,0.000070,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.0,1,269,512,0.000461,0.21,0.79,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-chat-v3.1/unimoral_factor_attribution/2026-05-27T13-36-46-00-00_unimoral-factor-attribution_VHFgmYqYbqmXRt5Esfncex.eval,accuracy,1,1,326,8,0.000075,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0,1,165,512,0.000439,0.21,0.79,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-chat-v3.1/unimoral_consequence_generation/2026-05-27T13-36-49-00-00_unimoral-consequence-generation_GusRpvXzgaahiFh4x7hcTh.eval,mean,1,1,211,35,0.000072,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,ValuePrism,value_prism_relevance,accuracy,1.0,1,59,24,0.000031,0.21,0.79,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-chat-v3.1/value_prism_relevance/2026-05-27T13-36-57-00-00_value-prism-relevance_YkpCrn34aeFXhzF4XbzhE5.eval,accuracy,1,1,69,2,0.000016,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,ValuePrism,value_prism_valence,accuracy,1.0,1,70,32,0.000040,0.21,0.79,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-chat-v3.1/value_prism_valence/2026-05-27T13-37-01-00-00_value-prism-valence_YxpxAcJSEiBp8KTFkaowrP.eval,accuracy,1,1,80,2,0.000018,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,1,314,80,0.000129,0.21,0.79,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-chat-v3.1/ccd_bench_selection/2026-05-27T13-37-04-00-00_ccd-bench-selection_HWeuDiKGF52BjGfcPiDZ7i.eval,mean,1,1,317,45,0.000102,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.0,1,193,64,0.000033,0.08,0.28,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-32b/unimoral_action_prediction/2026-05-27T13-42-57-00-00_unimoral-action-prediction_jkB6iWaDTRLMGKaUdrrTXQ.eval,accuracy,1,1,258,9,0.000023,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.0,1,235,512,0.000162,0.08,0.28,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-32b/unimoral_moral_typology/2026-05-27T13-43-01-00-00_unimoral-moral-typology_HPWFVK6VrwMhjf2gqmZKL9.eval,accuracy,1,1,301,11,0.000028,2,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.0,1,269,512,0.000165,0.08,0.28,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-32b/unimoral_factor_attribution/2026-05-27T13-43-05-00-00_unimoral-factor-attribution_DC9iGYJ5jyZvU85RyobSov.eval,accuracy,1,1,341,9,0.000030,2,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0,1,165,512,0.000157,0.08,0.28,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-32b/unimoral_consequence_generation/2026-05-27T13-43-18-00-00_unimoral-consequence-generation_kLSdbaEZQSVmskTisZfTRN.eval,mean,1,1,220,61,0.000035,2,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,ValuePrism,value_prism_relevance,accuracy,1.0,1,59,24,0.000011,0.08,0.28,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-32b/value_prism_relevance/2026-05-27T13-43-33-00-00_value-prism-relevance_dQtBPhV3Ku5Hm4KfgEfhGo.eval,accuracy,1,1,73,5,0.000007,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,ValuePrism,value_prism_valence,accuracy,1.0,1,70,32,0.000015,0.08,0.28,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-32b/value_prism_valence/2026-05-27T13-43-36-00-00_value-prism-valence_7qiuvJbssJ2tXg47GQzWJp.eval,accuracy,1,1,85,6,0.000009,2,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,1,314,80,0.000048,0.08,0.28,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-32b/ccd_bench_selection/2026-05-27T13-43-39-00-00_ccd-bench-selection_U2hJWcbghPwEzeaiApFCLg.eval,mean,1,1,333,51,0.000041,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.0,1,193,64,0.000020,0.071,0.1,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-235b-a22b-2507/unimoral_action_prediction/2026-05-27T13-43-54-00-00_unimoral-action-prediction_U6wyThmo5MRJWz8CGaLohQ.eval,accuracy,1,1,565,6,0.000041,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.0,1,235,512,0.000068,0.071,0.1,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-235b-a22b-2507/unimoral_moral_typology/2026-05-27T13-43-57-00-00_unimoral-moral-typology_crZ6RjWowrKCYJtdLpyLCu.eval,accuracy,1,1,300,8,0.000022,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.0,1,269,512,0.000070,0.071,0.1,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-235b-a22b-2507/unimoral_factor_attribution/2026-05-27T13-44-00-00-00_unimoral-factor-attribution_X7HiAdnSbh7CaQt9MQyUuF.eval,accuracy,1,1,340,5,0.000025,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0,1,165,512,0.000063,0.071,0.1,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-235b-a22b-2507/unimoral_consequence_generation/2026-05-27T13-44-03-00-00_unimoral-consequence-generation_TKVriVUdHtdufNPctG8WeU.eval,mean,1,1,219,45,0.000020,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,1.0,1,59,24,0.000007,0.071,0.1,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-235b-a22b-2507/value_prism_relevance/2026-05-27T13-44-08-00-00_value-prism-relevance_a6D2DYSeKjjmFXpWvt9pt3.eval,accuracy,1,1,73,1,0.000005,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,1.0,1,70,32,0.000008,0.071,0.1,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-235b-a22b-2507/value_prism_valence/2026-05-27T13-44-11-00-00_value-prism-valence_BVwnnpikHxZmYmxwXUQGUY.eval,accuracy,1,1,84,2,0.000006,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,1,314,80,0.000030,0.071,0.1,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-235b-a22b-2507/ccd_bench_selection/2026-05-27T13-44-14-00-00_ccd-bench-selection_cGWtafSnee5mgLbaXx7ce2.eval,mean,1,1,333,50,0.000029,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.0,1,193,64,0.000016,0.04,0.13,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-12b-it/unimoral_action_prediction/2026-05-27T13-44-28-00-00_unimoral-action-prediction_RZKBy85fBgvhJasaL5pwqX.eval,accuracy,1,1,233,6,0.000010,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.0,1,235,512,0.000076,0.04,0.13,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-12b-it/unimoral_moral_typology/2026-05-27T13-44-31-00-00_unimoral-moral-typology_U2tKVKcZMbHt364sH9c4NK.eval,accuracy,1,1,277,9,0.000012,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.0,1,269,512,0.000077,0.04,0.13,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-12b-it/unimoral_factor_attribution/2026-05-27T13-44-34-00-00_unimoral-factor-attribution_asjQaB3S5inuFCg5yRWjgk.eval,accuracy,1,1,301,6,0.000013,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0,1,165,512,0.000073,0.04,0.13,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-12b-it/unimoral_consequence_generation/2026-05-27T13-44-36-00-00_unimoral-consequence-generation_hL4jfpDrafexH6KXD3icRX.eval,mean,1,1,194,17,0.000010,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,1.0,1,59,24,0.000005,0.04,0.13,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-12b-it/value_prism_relevance/2026-05-27T13-44-40-00-00_value-prism-relevance_PQKvJHaFqYy3akied49CQW.eval,accuracy,1,1,68,3,0.000003,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,1.0,1,70,32,0.000007,0.04,0.13,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-12b-it/value_prism_valence/2026-05-27T13-44-42-00-00_value-prism-valence_7rYpgBTjBuAJe8rVJk5jsp.eval,accuracy,1,1,79,3,0.000004,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,1,314,80,0.000023,0.04,0.13,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-12b-it/ccd_bench_selection/2026-05-27T13-44-46-00-00_ccd-bench-selection_YWh8NrvjQauKxJgdyDwemS.eval,mean,1,1,349,50,0.000020,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.0,1,193,64,0.000026,0.08,0.16,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-27b-it/unimoral_action_prediction/2026-05-27T13-44-50-00-00_unimoral-action-prediction_YacyxzYZ83BfTozx24XPp9.eval,accuracy,1,1,233,7,0.000020,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.0,1,235,512,0.000101,0.08,0.16,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-27b-it/unimoral_moral_typology/2026-05-27T13-44-54-00-00_unimoral-moral-typology_FDseM8pRH8PVRL28R4XDTj.eval,accuracy,1,1,277,9,0.000024,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.0,1,269,512,0.000103,0.08,0.16,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-27b-it/unimoral_factor_attribution/2026-05-27T13-44-58-00-00_unimoral-factor-attribution_XNVmoMYMYg83Yy5AjRKJ7c.eval,accuracy,1,1,300,7,0.000025,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0,1,165,512,0.000095,0.08,0.16,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-27b-it/unimoral_consequence_generation/2026-05-27T13-45-01-00-00_unimoral-consequence-generation_Ua3cpZj8TLA6x6UuXdSuWy.eval,mean,1,1,194,21,0.000019,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,1.0,1,59,24,0.000009,0.08,0.16,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-27b-it/value_prism_relevance/2026-05-27T13-45-08-00-00_value-prism-relevance_PjSfkiei4ygKNmYEBXf8yn.eval,accuracy,1,1,68,3,0.000006,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.0,1,70,32,0.000011,0.08,0.16,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-27b-it/value_prism_valence/2026-05-27T13-45-11-00-00_value-prism-valence_kZU6tRB7spC3G5C3yy7Crf.eval,accuracy,1,1,79,5,0.000007,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,1,314,80,0.000038,0.08,0.16,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-27b-it/ccd_bench_selection/2026-05-27T13-45-14-00-00_ccd-bench-selection_fcsFdYtxCBbxqRxc4iGGzc.eval,mean,1,1,349,55,0.000037,0,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.0,1,193,64,0.000031,0.0509,0.335,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych/logs/meta-llama__llama-3.2-3b-instruct/unimoral_action_prediction/2026-05-27T13-45-18-00-00_unimoral-action-prediction_5KdZi5W9huTkimu54m7N6p.eval,accuracy,1,1,291,7,0.000017,0,input + output + reasoning tokens at OpenRouter metadata rates
