model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,20,3618,10240,0.003157,0.08,0.28,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,20,986,480,0.000213,0.08,0.28,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,ValuePrism,value_prism_valence,accuracy,,20,1009,640,0.000260,0.08,0.28,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,20,7154,1600,0.001020,0.08,0.28,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,20,4130,1280,0.000421,0.071,0.1,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,20,4970,10240,0.001377,0.071,0.1,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,20,5650,10240,0.001425,0.071,0.1,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,20,3618,10240,0.001281,0.071,0.1,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,20,986,480,0.000118,0.071,0.1,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,,20,1009,640,0.000136,0.071,0.1,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,20,7154,1600,0.000668,0.071,0.1,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,20,4130,1280,0.000268,0.04,0.08,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,20,4970,10240,0.001018,0.04,0.08,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,20,5650,10240,0.001045,0.04,0.08,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,20,3618,10240,0.000964,0.04,0.08,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,20,986,480,0.000078,0.04,0.08,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,,20,1009,640,0.000092,0.04,0.08,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,20,7154,1600,0.000414,0.04,0.08,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,20,4130,1280,0.000332,0.04,0.13,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,20,4970,10240,0.001530,0.04,0.13,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,20,5650,10240,0.001557,0.04,0.13,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,20,3618,10240,0.001476,0.04,0.13,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,20,986,480,0.000102,0.04,0.13,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,,20,1009,640,0.000124,0.04,0.13,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,20,7154,1600,0.000494,0.04,0.13,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,20,4130,1280,0.000535,0.08,0.16,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,20,4970,10240,0.002036,0.08,0.16,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,20,5650,10240,0.002090,0.08,0.16,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,20,3618,10240,0.001928,0.08,0.16,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,20,986,480,0.000156,0.08,0.16,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,,20,1009,640,0.000183,0.08,0.16,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,20,7154,1600,0.000828,0.08,0.16,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,20,4130,1280,0.000639,0.0509,0.335,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,20,4970,10240,0.003683,0.0509,0.335,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,20,5650,10240,0.003718,0.0509,0.335,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,20,3618,10240,0.003615,0.0509,0.335,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,20,986,480,0.000211,0.0509,0.335,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,,20,1009,640,0.000266,0.0509,0.335,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,20,7154,1600,0.000900,0.0509,0.335,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,20,4130,1280,0.000147,0.02,0.05,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,20,4970,10240,0.000611,0.02,0.05,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,20,5650,10240,0.000625,0.02,0.05,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,20,3618,10240,0.000584,0.02,0.05,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,20,986,480,0.000044,0.02,0.05,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,,20,1009,640,0.000052,0.02,0.05,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,20,7154,1600,0.000223,0.02,0.05,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,20,4130,1280,0.000823,0.1,0.32,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,20,4970,10240,0.003774,0.1,0.32,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,20,5650,10240,0.003842,0.1,0.32,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,20,3618,10240,0.003639,0.1,0.32,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,20,986,480,0.000252,0.1,0.32,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,ValuePrism,value_prism_valence,accuracy,,20,1009,640,0.000306,0.1,0.32,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,20,7154,1600,0.001227,0.1,0.32,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_action_prediction,accuracy,,20,4130,1280,0.000293,0.04,0.1,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_moral_typology,accuracy,,20,4970,10240,0.001223,0.04,0.1,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,20,5650,10240,0.001250,0.04,0.1,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,20,3618,10240,0.001169,0.04,0.1,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,ValuePrism,value_prism_relevance,accuracy,,20,986,480,0.000087,0.04,0.1,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,ValuePrism,value_prism_valence,accuracy,,20,1009,640,0.000104,0.04,0.1,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,20,7154,1600,0.000446,0.04,0.1,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_action_prediction,accuracy,,20,4130,1280,0.000357,0.04,0.15,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_moral_typology,accuracy,,20,4970,10240,0.001735,0.04,0.15,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,20,5650,10240,0.001762,0.04,0.15,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,20,3618,10240,0.001681,0.04,0.15,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,ValuePrism,value_prism_relevance,accuracy,,20,986,480,0.000111,0.04,0.15,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,ValuePrism,value_prism_valence,accuracy,,20,1009,640,0.000136,0.04,0.15,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,20,7154,1600,0.000526,0.04,0.15,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_action_prediction,accuracy,,20,4130,1280,0.003517,0.65,0.65,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_moral_typology,accuracy,,20,4970,10240,0.009887,0.65,0.65,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,20,5650,10240,0.010329,0.65,0.65,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,20,3618,10240,0.009008,0.65,0.65,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,ValuePrism,value_prism_relevance,accuracy,,20,986,480,0.000953,0.65,0.65,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,ValuePrism,value_prism_valence,accuracy,,20,1009,640,0.001072,0.65,0.65,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,20,7154,1600,0.005690,0.65,0.65,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_action_prediction,accuracy,,20,4130,1280,0.000969,0.12,0.37,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_moral_typology,accuracy,,20,4970,10240,0.004385,0.12,0.37,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,20,5650,10240,0.004467,0.12,0.37,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,20,3618,10240,0.004223,0.12,0.37,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,ValuePrism,value_prism_relevance,accuracy,,20,986,480,0.000296,0.12,0.37,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,ValuePrism,value_prism_valence,accuracy,,20,1009,640,0.000358,0.12,0.37,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,20,7154,1600,0.001450,0.12,0.37,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_action_prediction,accuracy,,20,4130,1280,0.001812,0.2,0.77,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_moral_typology,accuracy,,20,4970,10240,0.008879,0.2,0.77,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,20,5650,10240,0.009015,0.2,0.77,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,20,3618,10240,0.008608,0.2,0.77,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,ValuePrism,value_prism_relevance,accuracy,,20,986,480,0.000567,0.2,0.77,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,ValuePrism,value_prism_valence,accuracy,,20,1009,640,0.000695,0.2,0.77,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,20,7154,1600,0.002663,0.2,0.77,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_action_prediction,accuracy,,20,4130,1280,0.001878,0.21,0.79,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_moral_typology,accuracy,,20,4970,10240,0.009133,0.21,0.79,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,20,5650,10240,0.009276,0.21,0.79,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,20,3618,10240,0.008849,0.21,0.79,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,ValuePrism,value_prism_relevance,accuracy,,20,986,480,0.000586,0.21,0.79,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,ValuePrism,value_prism_valence,accuracy,,20,1009,640,0.000717,0.21,0.79,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,20,7154,1600,0.002766,0.21,0.79,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
