model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path,metric_observed,completed_samples,total_samples,input_tokens_actual,output_tokens_actual,reasoning_tokens_actual,actual_cost_usd,actual_cost_method
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.10937114809857143,20,3618,10240,0.003157,0.08,0.28,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-32b/unimoral_consequence_generation/2026-05-27T14-14-37-00-00_unimoral-consequence-generation_Byr5X979shweDgSiHXsu5s.eval,mean,20,20,4633,884,26,0.000625,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.65,20,986,480,0.000213,0.08,0.28,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-32b/value_prism_relevance/2026-05-27T14-15-01-00-00_value-prism-relevance_2M8o3DUpi4XeX34CqRev6j.eval,accuracy,20,20,1296,82,26,0.000134,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.75,20,1009,640,0.000260,0.08,0.28,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-32b/value_prism_valence/2026-05-27T14-15-08-00-00_value-prism-valence_P9H4pMgumCrgB5Aajk8F6E.eval,accuracy,20,20,1299,103,32,0.000142,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,20,7154,1600,0.001020,0.08,0.28,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-32b/ccd_bench_selection/2026-05-27T14-15-15-00-00_ccd-bench-selection_eFQc79rNvJmhMcCRArQUsp.eval,mean,20,20,7522,1050,30,0.000904,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.7,20,4130,1280,0.000421,0.071,0.1,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-235b-a22b-2507/unimoral_action_prediction/2026-05-27T14-15-34-00-00_unimoral-action-prediction_2QhSsZrVdXSBPVmpZDeykj.eval,accuracy,20,20,5529,113,0,0.000404,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.65,20,4970,10240,0.001377,0.071,0.1,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-235b-a22b-2507/unimoral_moral_typology/2026-05-27T14-15-43-00-00_unimoral-moral-typology_JPPmohynbeSa8tQjG9EtsX.eval,accuracy,20,20,6070,150,0,0.000446,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.45,20,5650,10240,0.001425,0.071,0.1,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-235b-a22b-2507/unimoral_factor_attribution/2026-05-27T14-15-51-00-00_unimoral-factor-attribution_EtS2BUSythCNyFWXHR6AnK.eval,accuracy,20,20,6843,120,0,0.000498,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.16641036947560184,20,3618,10240,0.001281,0.071,0.1,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-235b-a22b-2507/unimoral_consequence_generation/2026-05-27T14-16-04-00-00_unimoral-consequence-generation_QT4EoueC4q9Gz9U3pvczu6.eval,mean,20,20,4766,1022,0,0.000441,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.7,20,986,480,0.000118,0.071,0.1,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-235b-a22b-2507/value_prism_relevance/2026-05-27T14-16-30-00-00_value-prism-relevance_CZsZRzYeyoTZ5iLeNQBvXQ.eval,accuracy,20,20,1202,33,0,0.000089,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.7,20,1009,640,0.000136,0.071,0.1,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-235b-a22b-2507/value_prism_valence/2026-05-27T14-16-42-00-00_value-prism-valence_ZKhJ3VQy5QFBoxCKpWr9Xc.eval,accuracy,20,20,1261,55,0,0.000095,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,20,7154,1600,0.000668,0.071,0.1,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-235b-a22b-2507/ccd_bench_selection/2026-05-27T14-16-48-00-00_ccd-bench-selection_XxbXAN5QEQZXdCvrNNDzNJ.eval,mean,20,20,7409,1020,0,0.000628,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.6,20,4130,1280,0.000268,0.04,0.08,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-4b-it/unimoral_action_prediction/2026-05-27T14-17-15-00-00_unimoral-action-prediction_TAj7CewB6qpgipDRXS7NCK.eval,accuracy,20,20,4707,132,0,0.000199,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.7,20,4970,10240,0.001018,0.04,0.08,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-4b-it/unimoral_moral_typology/2026-05-27T14-17-20-00-00_unimoral-moral-typology_HTefitEqSkm7WzBHVHHSG7.eval,accuracy,20,20,5587,140,0,0.000235,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.4,20,5650,10240,0.001045,0.04,0.08,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-4b-it/unimoral_factor_attribution/2026-05-27T14-17-25-00-00_unimoral-factor-attribution_NTMKuYwkhGp3sgrqhJcRHC.eval,accuracy,20,20,6067,55,0,0.000247,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.16107991980050615,20,3618,10240,0.000964,0.04,0.08,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-4b-it/unimoral_consequence_generation/2026-05-27T14-17-30-00-00_unimoral-consequence-generation_UmjuvhGVPrpGFt3stoTz78.eval,mean,20,20,4049,687,0,0.000217,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.6,20,986,480,0.000078,0.04,0.08,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-4b-it/value_prism_relevance/2026-05-27T14-17-37-00-00_value-prism-relevance_6DWQMdxgJAwBbuhT8WNAoF.eval,accuracy,20,20,1166,60,0,0.000051,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.55,20,1009,640,0.000092,0.04,0.08,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-4b-it/value_prism_valence/2026-05-27T14-17-41-00-00_value-prism-valence_EgyyQUGvmKRqSFmCyadhXt.eval,accuracy,20,20,1188,60,0,0.000052,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,20,7154,1600,0.000414,0.04,0.08,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-4b-it/ccd_bench_selection/2026-05-27T14-17-45-00-00_ccd-bench-selection_Rr2pTAtKHNRyxpsoNEzqmX.eval,mean,20,20,7801,1150,0,0.000404,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.65,20,4130,1280,0.000332,0.04,0.13,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-12b-it/unimoral_action_prediction/2026-05-27T14-17-54-00-00_unimoral-action-prediction_EAgk2PtYqjxKHEmXiXY4Xd.eval,accuracy,20,20,4707,120,0,0.000204,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.55,20,4970,10240,0.001530,0.04,0.13,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-12b-it/unimoral_moral_typology/2026-05-27T14-17-58-00-00_unimoral-moral-typology_akG5vVDJMgXdr3mHbf7fS4.eval,accuracy,20,20,5587,182,0,0.000247,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.45,20,5650,10240,0.001557,0.04,0.13,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-12b-it/unimoral_factor_attribution/2026-05-27T14-18-03-00-00_unimoral-factor-attribution_jSt6nAfWdUVk5t5sbrpCvR.eval,accuracy,20,20,6067,134,0,0.000260,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.10620727552155966,20,3618,10240,0.001476,0.04,0.13,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-12b-it/unimoral_consequence_generation/2026-05-27T14-18-09-00-00_unimoral-consequence-generation_KDtMKqsS8FBXjm95CtMnnp.eval,mean,20,20,4049,531,0,0.000231,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.7,20,986,480,0.000102,0.04,0.13,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-12b-it/value_prism_relevance/2026-05-27T14-18-17-00-00_value-prism-relevance_cQMh8PECQNVfombsVAFmnX.eval,accuracy,20,20,1166,59,0,0.000054,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.6,20,1009,640,0.000124,0.04,0.13,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-12b-it/value_prism_valence/2026-05-27T14-18-21-00-00_value-prism-valence_gCsCzpsLKeESMKVHYkntxU.eval,accuracy,20,20,1188,51,0,0.000054,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,20,7154,1600,0.000494,0.04,0.13,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-12b-it/ccd_bench_selection/2026-05-27T14-18-26-00-00_ccd-bench-selection_E5beH4CQCqybpu3BtNk92z.eval,mean,20,20,7801,1034,0,0.000446,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.65,20,4130,1280,0.000535,0.08,0.16,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-27b-it/unimoral_action_prediction/2026-05-27T14-18-36-00-00_unimoral-action-prediction_HPbXWbCxGFKm4VqdzGH7tL.eval,accuracy,20,20,4689,131,0,0.000396,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.6,20,4970,10240,0.002036,0.08,0.16,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-27b-it/unimoral_moral_typology/2026-05-27T14-18-48-00-00_unimoral-moral-typology_mncC7f8wA9znt2sEvAgMyZ.eval,accuracy,20,20,5171,205,0,0.000446,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.45,20,5650,10240,0.002090,0.08,0.16,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-27b-it/unimoral_factor_attribution/2026-05-27T14-18-55-00-00_unimoral-factor-attribution_HBbK6reirCMU9qxfhaaoZ9.eval,accuracy,20,20,4563,136,0,0.000387,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.14923502478077472,20,3618,10240,0.001928,0.08,0.16,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-27b-it/unimoral_consequence_generation/2026-05-27T14-19-02-00-00_unimoral-consequence-generation_BKX8u4u7b6YwDBNkZAea9c.eval,mean,20,20,3856,651,0,0.000413,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.75,20,986,480,0.000156,0.08,0.16,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-27b-it/value_prism_relevance/2026-05-27T14-19-15-00-00_value-prism-relevance_Jgx6kmiWwtEye6nr2VEdL2.eval,accuracy,20,20,1166,67,0,0.000104,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.4,20,1009,640,0.000183,0.08,0.16,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-27b-it/value_prism_valence/2026-05-27T14-19-21-00-00_value-prism-valence_6ZTtdXHGrUtqZpuHppCaQL.eval,accuracy,20,20,1044,167,0,0.000110,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,20,7154,1600,0.000828,0.08,0.16,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-s20/logs/google__gemma-3-27b-it/ccd_bench_selection/2026-05-27T14-19-29-00-00_ccd-bench-selection_XgrSxoZHWaxHo9umfnSMF4.eval,mean,20,20,7720,1079,0,0.000790,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.6,20,4130,1280,0.000639,0.0509,0.335,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.2-3b-instruct/unimoral_action_prediction/2026-05-27T14-19-45-00-00_unimoral-action-prediction_nUqYTRvspjCREA75K4ugp9.eval,accuracy,20,20,5827,123,0,0.000338,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.65,20,4970,10240,0.003683,0.0509,0.335,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.2-3b-instruct/unimoral_moral_typology/2026-05-27T14-19-50-00-00_unimoral-moral-typology_J9FmvGVoaGeB3kiPhcgXch.eval,accuracy,20,20,6727,415,0,0.000481,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.4,20,5650,10240,0.003718,0.0509,0.335,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.2-3b-instruct/unimoral_factor_attribution/2026-05-27T14-19-55-00-00_unimoral-factor-attribution_hBPeXbDsLUepHmJEoQTFVc.eval,accuracy,20,20,7447,151,0,0.000430,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.08636311273037542,20,3618,10240,0.003615,0.0509,0.335,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.2-3b-instruct/unimoral_consequence_generation/2026-05-27T14-20-00-00-00_unimoral-consequence-generation_EsXw8xSDhYJ5UTJNbFGtGT.eval,mean,20,20,5198,3069,0,0.001293,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.8,20,986,480,0.000211,0.0509,0.335,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.2-3b-instruct/value_prism_relevance/2026-05-27T14-20-17-00-00_value-prism-relevance_6bW7ivNfLJreEEVxqUhjTG.eval,accuracy,20,20,1723,53,0,0.000105,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.2,20,1009,640,0.000266,0.0509,0.335,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.2-3b-instruct/value_prism_valence/2026-05-27T14-20-21-00-00_value-prism-valence_JXjDkyKQVD7iKdWQwycdV9.eval,accuracy,20,20,1737,52,0,0.000106,input + output + reasoning tokens at OpenRouter metadata rates
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,20,7154,1600,0.000900,0.0509,0.335,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-s20/logs/meta-llama__llama-3.2-3b-instruct/ccd_bench_selection/2026-05-27T14-20-25-00-00_ccd-bench-selection_nnQVYsgk62Y8J7LAbdv2ft.eval,mean,20,20,7898,1025,0,0.000745,input + output + reasoning tokens at OpenRouter metadata rates
