model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,2182,761659,174560,0.023961,0.02,0.05,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,8784,1721258,562176,0.352022,0.1,0.32,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,3492,846863,1787904,0.656816,0.1,0.32,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,3492,936335,1787904,0.665763,0.1,0.32,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1782,309888,912384,0.322952,0.1,0.32,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,43680,1428299,1048320,0.478292,0.1,0.32,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,ValuePrism,value_prism_valence,accuracy,,21840,954173,698880,0.319059,0.1,0.32,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
meta-llama/llama-3.3-70b-instruct,Llama,L/70B,2024-Q4,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,2182,761659,174560,0.132025,0.1,0.32,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_action_prediction,accuracy,,8784,1721258,562176,0.125068,0.04,0.1,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_moral_typology,accuracy,,3492,846863,1787904,0.212665,0.04,0.1,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,3492,936335,1787904,0.216244,0.04,0.1,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1782,309888,912384,0.103634,0.04,0.1,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,ValuePrism,value_prism_relevance,accuracy,,43680,1428299,1048320,0.161964,0.04,0.1,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,ValuePrism,value_prism_valence,accuracy,,21840,954173,698880,0.108055,0.04,0.1,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen-2.5-7b-instruct,Qwen,S/7B,2024-Q4,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,2182,761659,174560,0.047922,0.04,0.1,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_action_prediction,accuracy,,8784,1721258,562176,0.153177,0.04,0.15,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_moral_typology,accuracy,,3492,846863,1787904,0.302060,0.04,0.15,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,3492,936335,1787904,0.305639,0.04,0.15,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1782,309888,912384,0.149253,0.04,0.15,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,ValuePrism,value_prism_relevance,accuracy,,43680,1428299,1048320,0.214380,0.04,0.15,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,ValuePrism,value_prism_valence,accuracy,,21840,954173,698880,0.142999,0.04,0.15,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3.5-9b,Qwen,S/9B,2026-Q1,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,2182,761659,174560,0.056650,0.04,0.15,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_action_prediction,accuracy,,8784,1721258,562176,1.484232,0.65,0.65,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_moral_typology,accuracy,,3492,846863,1787904,1.712599,0.65,0.65,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,3492,936335,1787904,1.770755,0.65,0.65,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1782,309888,912384,0.794477,0.65,0.65,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,ValuePrism,value_prism_relevance,accuracy,,43680,1428299,1048320,1.609802,0.65,0.65,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,ValuePrism,value_prism_valence,accuracy,,21840,954173,698880,1.074484,0.65,0.65,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-2-27b-it,Gemma,L/27B,2024-Q3,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,2182,761659,174560,0.608542,0.65,0.65,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_action_prediction,accuracy,,8784,1721258,562176,0.414556,0.12,0.37,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_moral_typology,accuracy,,3492,846863,1787904,0.763148,0.12,0.37,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,3492,936335,1787904,0.773885,0.12,0.37,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1782,309888,912384,0.374769,0.12,0.37,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,ValuePrism,value_prism_relevance,accuracy,,43680,1428299,1048320,0.559274,0.12,0.37,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,ValuePrism,value_prism_valence,accuracy,,21840,954173,698880,0.373086,0.12,0.37,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-4-31b-it,Gemma,L/31B,2026-Q1,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,2182,761659,174560,0.155986,0.12,0.37,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_action_prediction,accuracy,,8784,1721258,562176,0.777127,0.2,0.77,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_moral_typology,accuracy,,3492,846863,1787904,1.546059,0.2,0.77,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,3492,936335,1787904,1.563953,0.2,0.77,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1782,309888,912384,0.764513,0.2,0.77,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,ValuePrism,value_prism_relevance,accuracy,,43680,1428299,1048320,1.092866,0.2,0.77,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,ValuePrism,value_prism_valence,accuracy,,21840,954173,698880,0.728972,0.2,0.77,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,2182,761659,174560,0.286743,0.2,0.77,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_action_prediction,accuracy,,8784,1721258,562176,0.805583,0.21,0.79,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_moral_typology,accuracy,,3492,846863,1787904,1.590285,0.21,0.79,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_factor_attribution,accuracy,,3492,936335,1787904,1.609075,0.21,0.79,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
